,ret
2016-03-03,-4.1736311906515056e-07
2016-03-04,4.173632932591431e-07
2016-03-05,0.0
2016-03-06,0.0
2016-03-07,-4.1736311906515056e-07
2016-03-08,0.0
2016-03-09,0.0
2016-03-10,0.0
2016-03-11,2.0868164662957156e-06
2016-03-12,0.0
2016-03-13,0.0
2016-03-14,-4.173624222891803e-07
2016-03-15,4.1736259648317287e-07
2016-03-16,4.173624224002026e-07
2016-03-17,4.1736224809518774e-07
2016-03-18,0.0
2016-03-19,0.0
2016-03-20,0.0
2016-03-21,-1.2520862217035855e-06
2016-03-22,-8.347251929663457e-07
2016-03-23,4.17362944871158e-07
2016-03-24,4.1736277078818773e-07
2016-03-25,-4.1736259648317287e-07
2016-03-26,0.0
2016-03-27,0.0
2016-03-28,4.1736277078818773e-07
2016-03-29,-4.1736259648317287e-07
2016-03-30,8.347255413543309e-07
2016-03-31,-8.347248445783606e-07
2016-04-01,0.0
2016-04-02,0.0
2016-04-03,0.0
2016-04-04,0.0
2016-04-05,1.2520883121425186e-06
2016-04-06,0.0
2016-04-07,1.6694528071070636e-06
2016-04-08,8.34723102638435e-07
2016-04-09,0.0
2016-04-10,0.0
2016-04-11,0.0
2016-04-12,0.0
2016-04-13,-4.1736120293123236e-07
2016-04-14,0.0
2016-04-15,4.173613772362472e-07
2016-04-16,0.0
2016-04-17,0.0
2016-04-18,0.0
2016-04-19,-1.669448626451242e-06
2016-04-20,-1.2520856991216078e-06
2016-04-21,4.173624224002026e-07
2016-04-22,1.2520905590118758e-06
2016-04-23,0.0
2016-04-24,0.0
2016-04-25,-4.1736554023952266e-07
2016-04-26,4.173657144335152e-07
2016-04-27,-8.347272657527327e-07
2016-04-28,0.0
2016-04-29,4.173620740122175e-07
2016-04-30,0.0
2016-05-01,0.0
2016-05-02,0.0
2016-05-03,0.0
2016-05-04,1.2520895138479204e-06
2016-05-05,0.0
2016-05-06,0.0
2016-05-07,0.0
2016-05-08,0.0
2016-05-09,8.347227542504498e-07
2016-05-10,-4.173610287372398e-07
2016-05-11,1.252083608793697e-06
2016-05-12,-4.1736068034925466e-07
2016-05-13,-4.1736085454324723e-07
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,8.347220574744796e-07
2016-05-17,4.1736068046027697e-07
2016-05-18,-8.347210124215465e-07
2016-05-19,0.0
2016-05-20,4.1736085454324723e-07
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,0.0
2016-05-24,-4.1736068034925466e-07
2016-05-25,-4.1736085454324723e-07
2016-05-26,-1.2520830863227417e-06
2016-05-27,8.34723102638435e-07
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,-4.1736120293123236e-07
2016-05-31,0.0
2016-06-01,-4.173613771252249e-07
2016-06-02,0.0
2016-06-03,0.0
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,-1.270101275929747e-06
2016-06-07,-2.8788998185369508e-08
2016-06-08,0.0
2016-06-09,0.0
2016-06-10,0.0
2016-06-11,0.0
2016-06-12,0.0
2016-06-13,0.0
2016-06-14,0.0
2016-06-15,0.0
2016-06-16,0.0
2016-06-17,0.0
2016-06-18,0.0
2016-06-19,0.0
2016-06-20,0.0
2016-06-21,0.0
2016-06-22,0.0
2016-06-23,0.0
2016-06-24,0.0
2016-06-25,0.0
2016-06-26,0.0
2016-06-27,0.0
2016-06-28,0.0
2016-06-29,0.0
2016-06-30,0.0
2016-07-01,0.0
2016-07-02,0.0
2016-07-03,0.0
2016-07-04,-3.0694153441146454e-08
2016-07-05,-4.233701980105309e-07
2016-07-06,-4.2336656258523675e-07
2016-07-07,1.6934707818272443e-06
2016-07-08,0.0
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,-4.233660249042259e-07
2016-07-12,4.233662040942221e-07
2016-07-13,0.0
2016-07-14,-4.233660249042259e-07
2016-07-15,4.233662040942221e-07
2016-07-16,0.0
2016-07-17,0.0
2016-07-18,1.2701018892169458e-06
